SDAccel Timeline Trace
Generated on: 2017-10-03 13:04:28
Msec since Epoch: 1507007068034
Profiled application: host
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.852803,clGetExtensionFunctionAddress|General,START,,,,,,,,,
0.878221,clGetExtensionFunctionAddress|General,END,,,,,,,,,
0.88719,clGetPlatformInfo|General,START,,,,,,,,,
0.89506,clGetPlatformInfo|General,END,,,,,,,,,
0.901145,clGetPlatformInfo|General,START,,,,,,,,,
0.90725,clGetPlatformInfo|General,END,,,,,,,,,
67.254054,clGetPlatformInfo|General,START,,,,,,,,,
67.294101,clGetPlatformInfo|General,END,,,,,,,,,
67.307481,clGetPlatformInfo|General,START,,,,,,,,,
67.319374,clGetPlatformInfo|General,END,,,,,,,,,
67.343245,clGetDeviceIDs|General,START,,,,,,,,,
67.361419,clGetDeviceIDs|General,END,,,,,,,,,
67.373724,clGetDeviceInfo|General,START,,,,,,,,,
67.38678,clGetDeviceInfo|General,END,,,,,,,,,
67.397858,clGetDeviceInfo|General,START,,,,,,,,,
67.409392,clGetDeviceInfo|General,END,,,,,,,,,
67.425595,clCreateContext|General,START,,,,,,,,,
3066.882206,clCreateContext|General,END,,,,,,,,,
3066.917469,clCreateCommandQueue|General,START,,,,,,,,,
3066.929727,clCreateCommandQueue|General,END,,,,,,,,,
3163.661908,clCreateProgramWithBinary|General,START,,,,,,,,,
3166.859463,clCreateProgramWithBinary|General,END,,,,,,,,,
3166.908315,clBuildProgram|General,START,,,,,,,,,
3166.919935,clBuildProgram|General,END,,,,,,,,,
3166.929985,clCreateKernel|General,START,,,,,,,,,
3166.948041,clCreateKernel|General,END,,,,,,,,,
3166.957047,clCreateBuffer|General,START,,,,,,,,,
3166.971856,clCreateBuffer|General,END,,,,,,,,,
3166.978911,clCreateBuffer|General,START,,,,,,,,,
3166.987253,clCreateBuffer|General,END,,,,,,,,,
3166.994819,clCreateBuffer|General,START,,,,,,,,,
3167.003016,clCreateBuffer|General,END,,,,,,,,,
3167.009781,clCreateBuffer|General,START,,,,,,,,,
3167.018051,clCreateBuffer|General,END,,,,,,,,,
3167.027053,clEnqueueWriteBuffer|2499573456,START,,,,,,,,,
3167.052021,WRITE_BUFFER,QUEUE,0X91B5F090,8388612,,,,,,,
3167.089375,WRITE_BUFFER,SUBMIT,0X91B5F090,8388612,,,,,,,
3167.142227,WRITE_BUFFER,START,0X91B5F090,8388612,,,,,,,
3169.000105,WRITE_BUFFER,END,0X91B5F090,8388612,,,,,,,
3169.00011,clEnqueueWriteBuffer|2499573456,END,,,,,,,,,
3169.057868,clEnqueueWriteBuffer|2499573456,START,,,,,,,,,
3169.085739,WRITE_BUFFER,QUEUE,0X917DCC80,268435456,,,,,,,
3169.100983,WRITE_BUFFER,SUBMIT,0X917DCC80,268435456,,,,,,,
3169.190924,WRITE_BUFFER,START,0X917DCC80,268435456,,,,,,,
3217.851419,WRITE_BUFFER,END,0X917DCC80,268435456,,,,,,,
3217.85385,clEnqueueWriteBuffer|2499573456,END,,,,,,,,,
3217.915963,clEnqueueWriteBuffer|2499573456,START,,,,,,,,,
3217.931273,WRITE_BUFFER,QUEUE,0X92ECBDE0,2097152,,,,,,,
3217.945527,WRITE_BUFFER,SUBMIT,0X92ECBDE0,2097152,,,,,,,
3217.997396,WRITE_BUFFER,START,0X92ECBDE0,2097152,,,,,,,
3218.413617,WRITE_BUFFER,END,0X92ECBDE0,2097152,,,,,,,
3218.416658,clEnqueueWriteBuffer|2499573456,END,,,,,,,,,
3218.453832,clSetKernelArg|General,START,,,,,,,,,
3218.465325,clSetKernelArg|General,END,,,,,,,,,
3218.471701,clSetKernelArg|General,START,,,,,,,,,
3218.977742,clSetKernelArg|General,END,,,,,,,,,
3218.987388,clSetKernelArg|General,START,,,,,,,,,
3218.99548,clSetKernelArg|General,END,,,,,,,,,
3219.002837,clSetKernelArg|General,START,,,,,,,,,
3219.01033,clSetKernelArg|General,END,,,,,,,,,
3219.017252,clSetKernelArg|General,START,,,,,,,,,
3219.024593,clSetKernelArg|General,END,,,,,,,,,
3219.030926,clSetKernelArg|General,START,,,,,,,,,
3219.037248,clSetKernelArg|General,END,,,,,,,,,
3219.043092,clSetKernelArg|General,START,,,,,,,,,
3219.049326,clSetKernelArg|General,END,,,,,,,,,
3219.055312,clSetKernelArg|General,START,,,,,,,,,
3219.061484,clSetKernelArg|General,END,,,,,,,,,
3219.067353,clSetKernelArg|General,START,,,,,,,,,
3219.073564,clSetKernelArg|General,END,,,,,,,,,
3219.079503,clSetKernelArg|General,START,,,,,,,,,
3219.085669,clSetKernelArg|General,END,,,,,,,,,
3219.09154,clSetKernelArg|General,START,,,,,,,,,
3219.097799,clSetKernelArg|General,END,,,,,,,,,
3219.10367,clSetKernelArg|General,START,,,,,,,,,
3219.109944,clSetKernelArg|General,END,,,,,,,,,
3219.115849,clSetKernelArg|General,START,,,,,,,,,
