SDAccel Timeline Trace
Generated on: 2017-10-03 21:21:22
Msec since Epoch: 1507036882611
Profiled application: host
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
519.254344,clGetExtensionFunctionAddress|General,START,,,,,,,,,
519.299386,clGetExtensionFunctionAddress|General,END,,,,,,,,,
519.319237,clGetPlatformInfo|General,START,,,,,,,,,
519.33704,clGetPlatformInfo|General,END,,,,,,,,,
519.35132,clGetPlatformInfo|General,START,,,,,,,,,
519.36532,clGetPlatformInfo|General,END,,,,,,,,,
1735.131946,clGetPlatformInfo|General,START,,,,,,,,,
1735.162865,clGetPlatformInfo|General,END,,,,,,,,,
1735.171939,clGetPlatformInfo|General,START,,,,,,,,,
1735.179862,clGetPlatformInfo|General,END,,,,,,,,,
1735.19515,clGetDeviceIDs|General,START,,,,,,,,,
1892.3697,clGetDeviceIDs|General,END,,,,,,,,,
1892.414901,clGetDeviceInfo|General,START,,,,,,,,,
1892.431218,clGetDeviceInfo|General,END,,,,,,,,,
1892.443151,clGetDeviceInfo|General,START,,,,,,,,,
1892.455442,clGetDeviceInfo|General,END,,,,,,,,,
1892.473033,clCreateContext|General,START,,,,,,,,,
4828.61276,clCreateContext|General,END,,,,,,,,,
4828.656717,clCreateCommandQueue|General,START,,,,,,,,,
4828.676777,clCreateCommandQueue|General,END,,,,,,,,,
6399.353145,clCreateProgramWithBinary|General,START,,,,,,,,,
6534.49821,clCreateProgramWithBinary|General,END,,,,,,,,,
6534.527392,clBuildProgram|General,START,,,,,,,,,
6534.53824,clBuildProgram|General,END,,,,,,,,,
6554.379258,clCreateKernel|General,START,,,,,,,,,
6554.417864,clCreateKernel|General,END,,,,,,,,,
6554.430052,clCreateBuffer|General,START,,,,,,,,,
6554.445259,clCreateBuffer|General,END,,,,,,,,,
6554.452795,clCreateBuffer|General,START,,,,,,,,,
6554.460311,clCreateBuffer|General,END,,,,,,,,,
6554.466716,clCreateBuffer|General,START,,,,,,,,,
6554.473975,clCreateBuffer|General,END,,,,,,,,,
6554.480457,clCreateBuffer|General,START,,,,,,,,,
6554.488004,clCreateBuffer|General,END,,,,,,,,,
6554.496413,clEnqueueWriteBuffer|2845071776,START,,,,,,,,,
6554.518355,WRITE_BUFFER,QUEUE,0X9211F720,8388612,,,,,,,
6554.547306,WRITE_BUFFER,SUBMIT,0X9211F720,8388612,,,,,,,
6554.619597,WRITE_BUFFER,START,0X9211F720,8388612,,,,,,,
6555.856212,WRITE_BUFFER,END,0X9211F720,8388612,,,,,,,
6555.888099,clEnqueueWriteBuffer|2845071776,END,,,,,,,,,
6555.930333,clEnqueueWriteBuffer|2845071776,START,,,,,,,,,
6555.947151,WRITE_BUFFER,QUEUE,0X913646C0,268435456,,,,,,,
6555.965641,WRITE_BUFFER,SUBMIT,0X913646C0,268435456,,,,,,,
6556.033537,WRITE_BUFFER,START,0X913646C0,268435456,,,,,,,
6590.208528,WRITE_BUFFER,END,0X913646C0,268435456,,,,,,,
6590.23571,clEnqueueWriteBuffer|2845071776,END,,,,,,,,,
6590.278185,clEnqueueWriteBuffer|2845071776,START,,,,,,,,,
6590.296321,WRITE_BUFFER,QUEUE,0X912680E0,2097152,,,,,,,
6590.322956,WRITE_BUFFER,SUBMIT,0X912680E0,2097152,,,,,,,
6590.383388,WRITE_BUFFER,START,0X912680E0,2097152,,,,,,,
6590.690993,WRITE_BUFFER,END,0X912680E0,2097152,,,,,,,
6590.721445,clEnqueueWriteBuffer|2845071776,END,,,,,,,,,
6590.751015,clSetKernelArg|General,START,,,,,,,,,
6590.762845,clSetKernelArg|General,END,,,,,,,,,
6590.770321,clSetKernelArg|General,START,,,,,,,,,
6690.830413,clSetKernelArg|General,END,,,,,,,,,
6690.843371,clSetKernelArg|General,START,,,,,,,,,
6690.855807,clSetKernelArg|General,END,,,,,,,,,
6690.863469,clSetKernelArg|General,START,,,,,,,,,
6690.870284,clSetKernelArg|General,END,,,,,,,,,
6690.876487,clSetKernelArg|General,START,,,,,,,,,
6690.883108,clSetKernelArg|General,END,,,,,,,,,
6690.889231,clSetKernelArg|General,START,,,,,,,,,
6690.89561,clSetKernelArg|General,END,,,,,,,,,
6690.901903,clSetKernelArg|General,START,,,,,,,,,
6690.908508,clSetKernelArg|General,END,,,,,,,,,
6690.914526,clSetKernelArg|General,START,,,,,,,,,
6690.920975,clSetKernelArg|General,END,,,,,,,,,
6690.927081,clSetKernelArg|General,START,,,,,,,,,
6690.933374,clSetKernelArg|General,END,,,,,,,,,
6690.939712,clSetKernelArg|General,START,,,,,,,,,
6690.946142,clSetKernelArg|General,END,,,,,,,,,
6690.952257,clSetKernelArg|General,START,,,,,,,,,
6690.958791,clSetKernelArg|General,END,,,,,,,,,
6690.964877,clSetKernelArg|General,START,,,,,,,,,
6690.97117,clSetKernelArg|General,END,,,,,,,,,
6690.977283,clSetKernelArg|General,START,,,,,,,,,
6690.984024,clSetKernelArg|General,END,,,,,,,,,
6690.997967,clSetKernelArg|General,START,,,,,,,,,
6691.006453,clSetKernelArg|General,END,,,,,,,,,
6691.017765,clEnqueueNDRangeKernel|2845071776,START,,,,,,,,,
6691.057978,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|bfs.hw.xilinx_adm-pcie-7v3_1ddr_3_0|bfs|1:1:1|all,QUEUE,0X9A4B0CD0,1,,,,,,,
6691.084352,clEnqueueNDRangeKernel|2845071776,END,,,,,,,,,
6691.100483,clFinish|General,START,,,,,,,,,
6871.309637,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|bfs.hw.xilinx_adm-pcie-7v3_1ddr_3_0|bfs|1:1:1|all,SUBMIT,0X9A4B0CD0,1,,,,,,,
6871.353145,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|bfs.hw.xilinx_adm-pcie-7v3_1ddr_3_0|bfs|1:1:1|bfs_1,START,0X9A4B0CD0,1,,,,,,,
