SDAccel Timeline Trace
Generated on: 2017-10-03 12:35:17
Msec since Epoch: 1507005317207
Profiled application: host
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.434929,clGetExtensionFunctionAddress|General,START,,,,,,,,,
0.45431,clGetExtensionFunctionAddress|General,END,,,,,,,,,
0.462973,clGetPlatformInfo|General,START,,,,,,,,,
0.470226,clGetPlatformInfo|General,END,,,,,,,,,
0.476328,clGetPlatformInfo|General,START,,,,,,,,,
0.482744,clGetPlatformInfo|General,END,,,,,,,,,
62.003187,clGetPlatformInfo|General,START,,,,,,,,,
62.059483,clGetPlatformInfo|General,END,,,,,,,,,
62.067756,clGetPlatformInfo|General,START,,,,,,,,,
62.075203,clGetPlatformInfo|General,END,,,,,,,,,
62.100358,clGetDeviceIDs|General,START,,,,,,,,,
62.113579,clGetDeviceIDs|General,END,,,,,,,,,
62.120453,clGetDeviceInfo|General,START,,,,,,,,,
62.128231,clGetDeviceInfo|General,END,,,,,,,,,
62.134278,clGetDeviceInfo|General,START,,,,,,,,,
62.14062,clGetDeviceInfo|General,END,,,,,,,,,
62.150415,clCreateContext|General,START,,,,,,,,,
3018.856337,clCreateContext|General,END,,,,,,,,,
3018.893459,clCreateCommandQueue|General,START,,,,,,,,,
3018.905574,clCreateCommandQueue|General,END,,,,,,,,,
3159.080977,clCreateProgramWithBinary|General,START,,,,,,,,,
3163.022927,clCreateProgramWithBinary|General,END,,,,,,,,,
3163.053924,clBuildProgram|General,START,,,,,,,,,
3163.064265,clBuildProgram|General,END,,,,,,,,,
3163.073779,clCreateKernel|General,START,,,,,,,,,
3163.09125,clCreateKernel|General,END,,,,,,,,,
3163.099598,clCreateBuffer|General,START,,,,,,,,,
3163.112944,clCreateBuffer|General,END,,,,,,,,,
3163.119766,clCreateBuffer|General,START,,,,,,,,,
3163.127347,clCreateBuffer|General,END,,,,,,,,,
3163.134085,clCreateBuffer|General,START,,,,,,,,,
3163.141551,clCreateBuffer|General,END,,,,,,,,,
3163.147902,clCreateBuffer|General,START,,,,,,,,,
3163.155838,clCreateBuffer|General,END,,,,,,,,,
3163.164375,clEnqueueWriteBuffer|2460799168,START,,,,,,,,,
3163.193455,WRITE_BUFFER,QUEUE,0X920AB090,8388612,,,,,,,
3163.273276,WRITE_BUFFER,SUBMIT,0X920AB090,8388612,,,,,,,
3163.361739,WRITE_BUFFER,START,0X920AB090,8388612,,,,,,,
3165.021557,WRITE_BUFFER,END,0X920AB090,8388612,,,,,,,
3165.059209,clEnqueueWriteBuffer|2460799168,END,,,,,,,,,
3165.107454,clEnqueueWriteBuffer|2460799168,START,,,,,,,,,
3165.125064,WRITE_BUFFER,QUEUE,0X91D28C80,268435456,,,,,,,
3165.160581,WRITE_BUFFER,SUBMIT,0X91D28C80,268435456,,,,,,,
3165.26619,WRITE_BUFFER,START,0X91D28C80,268435456,,,,,,,
3214.190553,WRITE_BUFFER,END,0X91D28C80,268435456,,,,,,,
3214.22201,clEnqueueWriteBuffer|2460799168,END,,,,,,,,,
3214.31799,clEnqueueWriteBuffer|2460799168,START,,,,,,,,,
3214.336526,WRITE_BUFFER,QUEUE,0X93417DE0,2097152,,,,,,,
3214.372645,WRITE_BUFFER,SUBMIT,0X93417DE0,2097152,,,,,,,
3214.435863,WRITE_BUFFER,START,0X93417DE0,2097152,,,,,,,
3214.863907,WRITE_BUFFER,END,0X93417DE0,2097152,,,,,,,
3214.900796,clEnqueueWriteBuffer|2460799168,END,,,,,,,,,
3214.947251,clSetKernelArg|General,START,,,,,,,,,
3214.959401,clSetKernelArg|General,END,,,,,,,,,
3214.966656,clSetKernelArg|General,START,,,,,,,,,
3215.501127,clSetKernelArg|General,END,,,,,,,,,
3215.511257,clSetKernelArg|General,START,,,,,,,,,
3215.519169,clSetKernelArg|General,END,,,,,,,,,
3215.526238,clSetKernelArg|General,START,,,,,,,,,
3215.533508,clSetKernelArg|General,END,,,,,,,,,
3215.540465,clSetKernelArg|General,START,,,,,,,,,
3215.547891,clSetKernelArg|General,END,,,,,,,,,
3215.554117,clSetKernelArg|General,START,,,,,,,,,
3215.560387,clSetKernelArg|General,END,,,,,,,,,
3215.566358,clSetKernelArg|General,START,,,,,,,,,
