SDAccel Timeline Trace
Generated on: 2017-09-24 01:41:58
Msec since Epoch: 1506188518659
Profiled application: host
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.454966,clGetExtensionFunctionAddress|General,START,,,,,,,,,
0.473766,clGetExtensionFunctionAddress|General,END,,,,,,,,,
0.482349,clGetPlatformInfo|General,START,,,,,,,,,
0.489772,clGetPlatformInfo|General,END,,,,,,,,,
0.495872,clGetPlatformInfo|General,START,,,,,,,,,
0.501827,clGetPlatformInfo|General,END,,,,,,,,,
89.61695,clGetPlatformInfo|General,START,,,,,,,,,
89.655678,clGetPlatformInfo|General,END,,,,,,,,,
89.669654,clGetPlatformInfo|General,START,,,,,,,,,
89.682391,clGetPlatformInfo|General,END,,,,,,,,,
89.700153,clGetDeviceIDs|General,START,,,,,,,,,
89.720331,clGetDeviceIDs|General,END,,,,,,,,,
89.732666,clGetDeviceInfo|General,START,,,,,,,,,
89.746332,clGetDeviceInfo|General,END,,,,,,,,,
89.757954,clGetDeviceInfo|General,START,,,,,,,,,
89.769605,clGetDeviceInfo|General,END,,,,,,,,,
89.78676,clCreateContext|General,START,,,,,,,,,
3089.608319,clCreateContext|General,END,,,,,,,,,
3089.650095,clCreateCommandQueue|General,START,,,,,,,,,
3089.669227,clCreateCommandQueue|General,END,,,,,,,,,
3167.581724,clCreateProgramWithBinary|General,START,,,,,,,,,
3170.635499,clCreateProgramWithBinary|General,END,,,,,,,,,
3170.674602,clBuildProgram|General,START,,,,,,,,,
3170.692117,clBuildProgram|General,END,,,,,,,,,
3170.715788,clCreateKernel|General,START,,,,,,,,,
3170.741126,clCreateKernel|General,END,,,,,,,,,
3170.756839,clCreateBuffer|General,START,,,,,,,,,
3170.778159,clCreateBuffer|General,END,,,,,,,,,
3170.791746,clCreateBuffer|General,START,,,,,,,,,
3170.806344,clCreateBuffer|General,END,,,,,,,,,
3170.819535,clCreateBuffer|General,START,,,,,,,,,
3170.834956,clCreateBuffer|General,END,,,,,,,,,
3170.847534,clCreateBuffer|General,START,,,,,,,,,
3170.861913,clCreateBuffer|General,END,,,,,,,,,
3170.877404,clEnqueueWriteBuffer|2473828496,START,,,,,,,,,
3170.909747,WRITE_BUFFER,QUEUE,0X942E56A0,8388612,,,,,,,
